IIDx	IID	KE_correct	GB	KE	Family	Name_number
545	1202	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
1025	1199	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
2301	1194	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
2882	1190	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
3658	1189	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
3996	1182	Sharjah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
FG139	1173	Sharjah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
S92	1171	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
S204	1164	Fujairah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
S318	1163	Sharjah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
S431	1157	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
1661	751	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhuhoori	Other
1676	745	Fujairah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhuhoori	Other
S53	739	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhuhoori	Other
308	171	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
721	167	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
993	166	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
1120	162	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
1540	161	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
3613	157	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
4162	147	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
S259	146	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
S332	144	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alfalahi	Name 9a 
988	1021	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alfalasi	Other
1748	83	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
1994	82	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
2199	81	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
3495	73	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
3512	68	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
4052	37	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
4081	35	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
FG105	13	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
