Recipient Egypt Ethiopia Western_Asia Russian_Caucasus Caucasus Iran South_Eastern_Europe Eastern_Europe Levant South_Asia IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
971 1579.67996 930.452436 142.198625 190.242027 167.084071 67.311618 97.004399 182.389637 181.51616 87.061758 721.249923 394.52015 73.172593 51.507277 277.898569 46.974073 335.044666 338.854377 58.832317 109.724239 837.480351 375.218634
974 1667.60661 945.814263 123.951223 204.302799 162.445177 64.269606 88.717793 175.980011 180.328553 74.030952 698.358737 362.377181 79.226317 53.514773 281.35062 40.04938 319.573545 337.579955 59.319165 111.525966 868.608954 346.486285
978 973.425899 629.681258 127.855754 185.442928 141.868102 41.154157 69.544582 178.35057 124.88589 109.841786 636.735152 518.510057 130.738755 170.767985 360.966974 103.930931 439.725556 460.14616 194.771504 446.685798 727.56183 472.826237
987 1011.10485 634.525048 172.647136 225.904168 167.729406 37.109089 102.019145 242.420307 118.930423 94.925793 925.22562 443.77135 160.035167 107.72158 326.403803 90.292842 354.651824 365.984718 129.333787 159.727459 970.709713 404.244634
993 929.371223 578.333554 128.248844 193.053596 146.423974 39.774899 81.447483 177.584484 106.580167 116.624868 670.262886 534.35145 131.8168 172.680862 394.894801 110.84862 461.763053 484.688057 194.791714 374.112307 742.398692 475.365533
994 970.922765 547.019154 170.608479 211.32869 142.375194 43.989948 84.382276 225.821835 131.85793 154.633291 733.313614 639.911395 59.246362 43.644943 466.348827 38.612432 528.038938 552.28007 47.467528 81.833246 763.710873 608.070074
1002 1501.37414 1114.31798 124.226845 198.305945 158.882472 52.029444 90.090192 172.344703 161.657093 77.991579 747.2508 380.797798 84.995588 58.594917 245.468193 51.207018 308.446833 319.459017 68.489248 119.493392 869.704275 340.290385
1016 1166.33772 765.889573 131.716939 209.401637 155.932135 39.090445 70.438007 207.102248 124.896877 88.082437 815.116301 436.480714 168.525116 107.366375 310.365133 97.499422 375.474932 390.791615 136.333739 180.824402 870.700015 397.052084
1018 1562.54624 917.361738 124.705824 212.809635 157.830546 56.375881 89.888416 180.392336 187.129114 92.223008 736.619829 380.643609 79.59513 65.750243 293.300578 45.887392 327.642395 340.927733 68.041836 129.857627 841.945156 353.943595
1035 548.296483 382.32807 130.80475 154.894359 88.09196 33.854787 58.667481 160.139188 67.606105 116.339134 520.293726 521.693934 230.923684 414.508453 359.215579 213.838721 475.735315 474.530899 419.660046 827.986493 550.543906 495.464782
1045 1349.09994 886.839378 126.068344 185.339463 142.602467 54.337118 92.874656 168.077435 135.54222 78.59173 769.466626 368.129564 187.890372 132.789457 263.929931 115.838161 316.354342 325.504169 155.736582 216.85998 830.44341 343.102515
1056 1363.06329 858.851198 126.566098 187.869182 147.531151 40.236567 98.772519 188.37368 143.783165 86.173183 771.471551 389.936441 154.487161 106.805564 271.711941 89.877679 325.632932 337.138621 141.004851 180.894718 887.23663 347.999738
