IID	GB	KE	Family	Name_number
HG03376	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03378	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03380	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03382	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03385	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03388	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03391	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03394	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03397	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03401	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03410	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03419	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03428	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03432	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03433	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03436	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03437	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03439	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03442	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03445	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03446	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03449	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03451	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03452	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03455	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03457	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03458	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03460	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03461	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03464	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03469	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03470	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03472	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03473	MSL_Sierra_Leone	MSL_Sierra_Leone		
